title,first_authors,current,capacity,electrolyte_volume,li_thickness,temperature,electrolyte_1,electrolyte_2,electrolyte_3,electrolyte_4,electrolyte_5,electrolyte_6,electrolyte_7,electrolyte_8,electrolyte_9,electrolyte_10
High-ThroughputNEBforLi-IonConductorDiscoveryviaFine-Tuned CHGNetPotential,Jingchen Lian,N/A,N/A,N/A,N/A,800,Li1+xAlxTi2−x(PO4)3,LiMgPO4,LiTiPO5,Li0.5Mg0.5Al0.5PO4,Li0.5TiPO4.5F0.5,Li2MnO3,LiTi2(PO4)3,N/A,N/A,N/A
High-Efﬁciency Lithium Metal Batteries with Fire-Retardant Electrolytes,Shuru Chen,0.5,5,N/A,N/A,25,LiFSI,TEP,BTFE,LiPF6,N/A,N/A,N/A,N/A,N/A,N/A
Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries,Hao Zheng,2.0,N/A,N/A,N/A,25,LiDFP,LiBOB,LiFSI,LiTFSI,LiPF6,CO2,SO2,CsPF6,RbF,NaPF6
Lithium Difluorophosphate-Based Dual-Salt Low Concentration Electrolytes for Lithium Metal Batteries,Hao Zheng,1,1.5,N/A,100,N/A,LiPF6,LiDFP,LiBOB,LiFSI,LiTFSI,N/A,N/A,N/A,N/A,N/A
Enhanced performance of lithium metal batteries via cyclic fluorinated ether based electrolytes,Hafiz Ahmad Ishfaq,0.5,0.5,20,110,80,"2,2-bis(trifluoromethyl)-1,3-dioxolane","1,2-dimethoxyethane",Lithium bis(fluorosulfonyl)imide,"1,2-(1,1,2,2-tetrafluoroethyl) ether","1,1,2,2-tetrafluoroethyl-2,2,3,3-tetrafluoropropylether","bis(2,2,2-trifluoroethoxy) methane","2-(2,2,2-trifluoroethoxy) -4-(trifluoromethyl) -1,3 dioxolane","4-(trifluoromethyl) -1,3-dioxolane","2,2-dimethoxy-4-(trifluoromethyl) -1,3-dioxolane","1,2-bis(2,2,2-trifluoroethoxy) ethane"
Enhancing Cycling Stability of Lithium Metal Batteries by a Bifunctional Fluorinated Ether,Thanh-Nhan Tran,0.5,4,N/A,50,N/A,LiFSI,DME,BTFEE,TTE,N/A,N/A,N/A,N/A,N/A,N/A
An All-Fluorinated Ester Electrolyte for Stable High-Voltage Li Metal Batteries Capable of Ultra-Low-Temperature Operation,John Holoubek,0.5,161,N/A,N/A,-40,LiPF6,"methyl 3,3,3-tri fluoropionate",fluoroethylene carbonate,methyl propionate,ethylene carbonate,diethyl carbonate,N/A,N/A,N/A,N/A
An All-Fluorinated Ester Electrolyte for Stable High-Voltage Li Metal Batteries at Ultra-Low Temperature,John Holoubek,N/A,0.84,N/A,N/A,23,Fluoroethylene carbonate,"Methyl 3,3,3-trifuoloropropionate",LiPF6,Methyl propionate,Ethylene carbonate,Diethyl carbonate,N/A,N/A,N/A,N/A
Role of inner solvation sheath within salt –solvent complexes in tailoring electrode/electrolyte interphases for lithium metal batteries,Xiaodi Ren,N/A,N/A,N/A,N/A,N/A,LiFSI,DMC,TMS,TEP,DME,TTE,N/A,N/A,N/A,N/A
"Role of Inner Solvation Sheath within Salt -Solvent Complexes in Tailoring 
Electrode/Electrolyte Interphases for Lithium Metal Batteries",Xiaodi Ren,0.5,1,N/A,N/A,25,LiFSI,DMC,TTE,TMS,TEP,DME,N/A,N/A,N/A,N/A
Monolithic solid–electrolyte interphases formed in fluorinated orthoformate-based electrolytes minimize Li depletion and pulverization,Xia Cao,0.5,1,N/A,50,5,LiFSI,DME,"Tris(2,2,2-trifluoroethyl)orthoformate",LiPF6,ethylene carbonate,ethyl methyl carbonate,vinylene carbonate,N/A,N/A,N/A
Monolithic solid–electrolyte interphases formed in fluorinated orthoformate-based electrolytes minimize Li depletion and pulverization,Xia Cao,0.5,1,N/A,50,5,LiPF6,EC,EMC,VC,LiFSI,DME,TFEO,N/A,N/A,N/A
Integrated Ring-Chain Design of a New Fluorinated Ether Solvent for High-Voltage Lithium-Metal Batteries,Tianhong Zhou,1,4,20,22,100,Fluoroethylenecarbonate,Vinylenecarbonate,Lithium bis(fluorosulfonyl)imide,"1,1,2,2-tetrafluoroethyl-2,2,3,3-tetrafluoropropyl ether","Tris(2,2,2-trifluoroethyl)orthoformate","Bis(2,2,2-tri-fluoroethyl) ether","1,2-difluorobenzene","2-ethoxy-4-(trifluoromethyl)-1,3-dioxolane",Triethylorthoformate,Lithium perchlorate
Integrated Ring-Chain Design of a New Fluorinated Ether Solvent for High-Voltage Lithium-Metal Batteries,T.Zhou,1,1,40,20,50,Triethyl orthoformate,Toluene,"3,3,3-trifluoro methyl pyruvic acid",p-Toluenesulfonic acid,Tetrahydrofuran,Lithium bis(fluorosulfonyl)imide,N-methyl-2-pyrrolidone,LiPF6,EC,EMC
Locally Saturated Ether-Based Electrolytes With Oxidative Stability ForLiMetal Batteries Based onLi-Rich Cathodes,John Holoubek,0.11,4,N/A,250,N/A,LiPF6,EC,EMC,LiFSI,DME,BTFE,N/A,N/A,N/A,N/A
Locally Saturated Ether-Based Electrolytes With Oxidative Stability For Li Metal Batteries Based on Li Rich Cathodes,John Holoubek,0.5,2.8,75,250,298,"1,2-dimethoxyethane","Bis(2,2,2-trifuloroethyl) ether",Lithium bis(fluorosulfonyl)imide,N/A,N/A,N/A,N/A,N/A,N/A,N/A
